property_name	parent_property	path	type	description	enum	pattern	required	recommended	source	condition
percent_assembled	assembly_information	assembly_stats.assembly_information.percent_assembled	number	Percentage of the assembly assigned to chromosomes. 1 item per haplotype in the array. HAP_KEY			No	No	ToLQC	
organelles	assembly_information	assembly_stats.assembly_information.organelles	array	Organelle sequences included in the assembly, such as mitochondrial and plastid genomes.			No	No	ToLQC	
assembly_role	organelles	assembly_stats.assembly_information.organelles.assembly_role	string	Assembly role containing this organelle record. HAP_KEY			No	No	ToLQC	
organelle_type	organelles	assembly_stats.assembly_information.organelles.organelle_type			mitochondrion, plastid, chloroplast		No	No	ToLQC	
accession	organelles	assembly_stats.assembly_information.organelles.accession	string				No	No	ToLQC	
name	organelles	assembly_stats.assembly_information.organelles.name	string	Molecule name, for example MT or PLTD.			No	No	ToLQC	
description	organelles	assembly_stats.assembly_information.organelles.description	string				No	No	ToLQC	
length_kb	organelles	assembly_stats.assembly_information.organelles.length_kb	number				No	No	ToLQC	
gc_percent	organelles	assembly_stats.assembly_information.organelles.gc_percent	number				No	No	ToLQC	
assembly_analysis	assembly_stats	assembly_stats.assembly_analysis	object				No	No	ToLQC	
ncbi_taxonomy_id	assembly_analysis	assembly_stats.assembly_analysis.ncbi_taxonomy_id	string				No	No	ToLQC	
ploidy	assembly_analysis	assembly_stats.assembly_analysis.ploidy					No	No	ToLQC	
method	ploidy	assembly_stats.assembly_analysis.ploidy.method	object				No	No	ToLQC	
software	method	assembly_stats.assembly_analysis.ploidy.method.software	string				No	No	ToLQC	
doi	method	assembly_stats.assembly_analysis.ploidy.method.doi	string				No	No	ToLQC	
url	method	assembly_stats.assembly_analysis.ploidy.method.url	string				No	No	ToLQC	
count	ploidy	assembly_stats.assembly_analysis.ploidy.count	number	Ploidy count			No	No	ToLQC	
formatted_count	ploidy	assembly_stats.assembly_analysis.ploidy.formatted_count	string	Whether the count equates to diploid, triploid, etc.			No	No	ToLQC	
kmer_analysis	assembly_analysis	assembly_stats.assembly_analysis.kmer_analysis	array				No	No	ToLQC	
name	kmer_analysis	assembly_stats.assembly_analysis.kmer_analysis.name			genomescope, smudgeplot		No	No	ToLQC	
path	kmer_analysis	assembly_stats.assembly_analysis.kmer_analysis.path	string	Path to directory containing results			No	No	ToLQC	
est_size_bp	kmer_analysis	assembly_stats.assembly_analysis.kmer_analysis.est_size_bp	number	Estimated length of assembly from analysis, recorded in base-pairs			No	No	ToLQC	
raw_data_object	assembly_analysis	assembly_stats.assembly_analysis.raw_data_object	array	Linked to raw_data in sample_prep_schema			No	No	ToLQC	
accession	raw_data_object	assembly_stats.assembly_analysis.raw_data_object.accession	string				No	No	ToLQC	
data_type	raw_data_object	assembly_stats.assembly_analysis.raw_data_object.data_type	string				No	No	ToLQC	
chromosome_tables	assembly_analysis	assembly_stats.assembly_analysis.chromosome_tables	array	Chromosomal pseudomolecules			No	No	ToLQC	
insdc_accession	chromosome_tables	assembly_stats.assembly_analysis.chromosome_tables.insdc_accession	string				No	No	ToLQC	
chromosome	chromosome_tables	assembly_stats.assembly_analysis.chromosome_tables.chromosome	string				No	No	ToLQC	
size_mb	chromosome_tables	assembly_stats.assembly_analysis.chromosome_tables.size_mb	number				No	No	ToLQC	
gc_percent	chromosome_tables	assembly_stats.assembly_analysis.chromosome_tables.gc_percent	number				No	No	ToLQC	
taxonomy	assembly_analysis	assembly_stats.assembly_analysis.taxonomy	array	What species			No	No	ToLQC	
assembly_id	taxonomy	assembly_stats.assembly_analysis.taxonomy.assembly_id	string				No	No	ToLQC	
tax_authority	taxonomy	assembly_stats.assembly_analysis.taxonomy.tax_authority	string				No	No	ToLQC	
ncbi_taxonomy_id	taxonomy	assembly_stats.assembly_analysis.taxonomy.ncbi_taxonomy_id	string				Yes	No	ToLQC	
lineage	taxonomy	assembly_stats.assembly_analysis.taxonomy.lineage	string				No	No	ToLQC	
class	taxonomy	assembly_stats.assembly_analysis.taxonomy.class	string				No	No	ToLQC	
family	taxonomy	assembly_stats.assembly_analysis.taxonomy.family	string				No	No	ToLQC	
order	taxonomy	assembly_stats.assembly_analysis.taxonomy.order	string				No	No	ToLQC	
phylum	taxonomy	assembly_stats.assembly_analysis.taxonomy.phylum	string				No	No	ToLQC	
common_name	taxonomy	assembly_stats.assembly_analysis.taxonomy.common_name	string	Common name used in the genome note. In data_note this is taken from GBIF when available, or NCBI Datasets as fallback.			No	No	ToLQC	
common_name_source	taxonomy	assembly_stats.assembly_analysis.taxonomy.common_name_source		Source used for common_name.	gbif, ncbi_datasets		No	No	ToLQC	
species	taxonomy	assembly_stats.assembly_analysis.taxonomy.species	string				No	No	ToLQC	
