property_name	parent_property	path	type	description	enum	pattern	required	recommended	source	condition
count	missing	annotation.statistics.omark.assessments.clades.missing.count	number	Number of missing genes from completeness assessment			No	No	Completeness Assessment	
percentage	missing	annotation.statistics.omark.assessments.clades.missing.percentage	number	Percentage of missing genes from completeness assessment			No	No	Completeness Assessment	
total_unknown_proteins	clades	annotation.statistics.omark.assessments.clades.total_unknown_proteins	object				No	No	Whole Proteome Assessment	
count	total_unknown_proteins	annotation.statistics.omark.assessments.clades.total_unknown_proteins.count	number	Number of unknown proteins			No	No	Whole Proteome Assessment	
percentage	total_unknown_proteins	annotation.statistics.omark.assessments.clades.total_unknown_proteins.percentage	number	Percentage of unknown proteins			No	No	Whole Proteome Assessment	
protein_count	clades	annotation.statistics.omark.assessments.clades.protein_count	number	Number of proteins in whole proteome, from whole proteome assessment			No	No	Whole Proteome Assessment	
consistent_lineage_placement	clades	annotation.statistics.omark.assessments.clades.consistent_lineage_placement	object				No	No	Whole Proteome Assessment	
summary	consistent_lineage_placement	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.summary	object				No	No	Whole Proteome Assessment	
count	summary	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.summary.count	number	Number of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
percentage	summary	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.summary.percentage	number	Percentage of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
consistent	consistent_lineage_placement	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.consistent	object				No	No	Whole Proteome Assessment	
count	consistent	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.consistent.count	number	Number of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
percentage	consistent	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.consistent.percentage	number	Percentage of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
inconsistent	consistent_lineage_placement	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.inconsistent	object				No	No	Whole Proteome Assessment	
count	inconsistent	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.inconsistent.count	number	Number of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
percentage	inconsistent	annotation.statistics.omark.assessments.clades.consistent_lineage_placement.inconsistent.percentage	number	Percentage of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
contamination	clades	annotation.statistics.omark.assessments.clades.contamination	object				No	No	Whole Proteome Assessment	
summary	contamination	annotation.statistics.omark.assessments.clades.contamination.summary	object				No	No	Whole Proteome Assessment	
count	summary	annotation.statistics.omark.assessments.clades.contamination.summary.count	number	Number of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
percentage	summary	annotation.statistics.omark.assessments.clades.contamination.summary.percentage	number	Percentage of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
consistent	contamination	annotation.statistics.omark.assessments.clades.contamination.consistent	object				No	No	Whole Proteome Assessment	
count	consistent	annotation.statistics.omark.assessments.clades.contamination.consistent.count	number	Number of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
percentage	consistent	annotation.statistics.omark.assessments.clades.contamination.consistent.percentage	number	Percentage of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
inconsistent	contamination	annotation.statistics.omark.assessments.clades.contamination.inconsistent	object				No	No	Whole Proteome Assessment	
count	inconsistent	annotation.statistics.omark.assessments.clades.contamination.inconsistent.count	number	Number of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
percentage	inconsistent	annotation.statistics.omark.assessments.clades.contamination.inconsistent.percentage	number	Percentage of proteins with consistent lineage placement, from partial proteome assessment			No	No	Whole Proteome Assessment	
